SC  LATITUDE  LONGITUDE  "Popular" or USGS Spring Name        TF   TC   P.P. 492  Circ. 790  NOAA  AMS                    USGS Quadrangle
CA   39.0390   -122.421  WILBUR SPRINGS                       153   67        68         44    11  UKIAH                  WILBUR SPRINGS 15            
CA   34.5820   -119.044  WILLETT HOT SPRINGS                  108   42       110       null     1  LOS ANGELES            (TOPATOPA MOUNTAINS          
CA   33.2170   -115.580  WISTER MUD POT                       100   38      null         64    12  SALTON SEA             NILAND 7.5                   
CA   33.6700   -117.325  WRENDEN HOT SPRS, ELSINORE HOT SPRS  125   52       168       null     5  SANTA ANA              (ELSINORE 7.5)               
CA   35.4330   -118.478  YATES HOT SPRINGS                    100   38       153       null     8  BAKERSFIELD            PIUTE PEAK 7.5               
CA   39.9220   -120.024  ZAMBONI HOT SPRINGS                    H    H      null       null     2  CHICO                  CONSTANTIA 7.5               
CA   38.7550   -122.285  ZIM ZIM SPRING                        70   21      null       null    28  SANTA ROSA             (KNOXVILLE 7.5)              
CA   38.7730   -119.713  null                                 149   65      null       null     1  WALKER LAKE            (MT. SIEGEL 15)              
CA   38.6270   -119.504  null                                   W    W      null       null     3  WALKER LAKE            (TOPAZ LAKE 15)              
CA   38.9860   -122.736  null                                  95   35      null         47     3  SANTA ROSA             (CLEARLAKE HIGHLANDS 7.5)    
CA   38.9630   -122.724  null                                   W    W      null         47     5  SANTA ROSA             (CLEARLAKE HIGHLANDS 7.5)    
CA   38.9500   -122.654  null                                   W    W      null       null     7  SANTA ROSA             (CLEARLAKE HIGHLANDS 7.5)    
CA   33.5400   -116.742  null                                   W    W      null       null     5  SANTA ANA              (IDYLLWILD 15)               
CA   33.8650   -117.103  null                                   W    W      null       null     2  SANTA ANA              (LAKEVIEW 7.5)               
CA   33.8020   -118.393  null                                  77   25      null       null     1  LONG BEACH             (REDONDO BEACH 7.5)          
CA   34.1240   -117.078  null                                  90   32       163       null     4  SAN BERNARDINO         (YUCAIPA 7.5)                
CA   36.6400   -120.684  null                                  75   24      null       null     4  SANTA CRUZ             (CHOUNET RANCH 7.5)          
CA   36.3310   -121.843  null                                 114   46        90       null     3  SANTA CRUZ             (BIG SUR 7.5)                
CA   41.5420   -120.567  null                                  81   27      null       null     7  ALTURAS                (BIG SAGE RESERVOIR          
CA   41.4660   -120.525  null                                  72   22        10       null    11  ALTURAS                ALTURAS 15                   
CA   41.3600   -120.723  null                                  81   27      null       null    13  ALTURAS                (ALTURAS 15)                 
CA   41.2080   -120.054  null                                 109   43      null       null    17  ALTURAS                (SNAKE LAKE 7.5)             
CA   37.4130   -119.139  null                                  95   35      null       null     8  MARIPOSA               (KAISER PEAK 15)             
CA   37.8950   -121.874  null                                  70   21      null       null     2  SAN JOSE               (ANTIOCH SOUTH 7.5)          
CA   35.9400   -117.903  null                                  80   27       143       null     1  TRONA                  (LITTLE LAKE 15)             
CA   35.3630   -119.727  null                                  93   34      null       null     3  BAKERSFIELD            (REWARD 7.5)                 
CA   35.6490   -120.687  null                                 108   42      null       null     3  SAN LUIS OBISPO        (PASO ROBLES 7.5)            
CA   38.7770   -122.763  null                                 120   49      null         48    24  SANTA ROSA             (THE GEYSERS 7.5)            
CA   38.3890   -122.567  null                                  73   23        77       null    35  SANTA ROSA             KENWOOD 7.5                  
CA   38.3570   -122.509  null                                  70   21        78       null    36  SANTA ROSA             (GLEN ELLEN 7.5)             
CA   38.3210   -122.271  null                                  83   28      null       null    38  SANTA ROSA             (NAPA 7.5)                   
CA   38.1010   -122.169  null                                  73   23      null       null    41  SANTA ROSA             (BENICIA 7.5)                
CA   39.9800   -120.064  null                                 108   42      null       null     1  CHICO                  (CONSTANTIA 7.5)             
CA   39.2000   -122.725  null                                  90   32      null       null     4  UKIAH                  (CLEARLAKE OAKS 15)          
CA   39.0220   -122.592  null                                  81   27      null       null    14  UKIAH                  CLEARLAKE OAKS 15            
CA   36.2500   -121.683  null                                   W    W      null       null     5  SANTA CRUZ             (PARTINGTON RIDGE 7.5)       
CA   37.6670   -118.781  null                                 127   53      null         56     7  MARIPOSA               (MT. MORRISON 15)            
CA   37.6570   -118.764  null                                 120   49      null         56    10  MARIPOSA               (MT. MORRISON 15)            
CA   37.6530   -118.925  null                                  72   22      null         56    12  MARIPOSA               (MT. MORRISON 15)            
CA   37.6390   -118.756  null                                  86   30      null         56    16  MARIPOSA               (MT. MORRISON 15)            
CA   37.6070   -118.808  null                                  73   23      null         56    20  MARIPOSA               (MT. MORRISON 15)            
CA   37.2680   -118.272  null                                  84   29      null       null    21  MARIPOSA               BISHOP 15                    
CA   37.9890   -119.139  null                                  72   22      null       null     2  MARIPOSA               (MONO CRATERS 15)            
CA   37.9410   -119.036  null                                  91   33      null       null     3  MARIPOSA               (MONO CRATERS 15)            
CA   37.8360   -119.016  null                                  97   36      null       null     4  MARIPOSA               (MONO CRATERS 15)            
CO   37.7410   -107.034  ANTELOPE SPRING                       90   32      null       null     1  DURANGO                WORKMAN CREEK 7.5            
CO   37.7280   -107.054  BIRDSIE WARM SPRING                   86   30      null       null     2  DURANGO                (WORKMAN CREEK 7.5)          
CO   38.6530   -106.056  BROWNS CANYON WARM SPRING             77   25      null       null     6  MONTROSE               (PONCHA SPRINGS 15)          
CO   38.6340   -106.072  BROWNS GROTTO WARM SPRING             73   23      null       null     7  MONTROSE               (PONCHA SPRINGS 15)          
CO   38.4330   -105.261  CANON CITY HOT SPRINGS               104   40        22       null     3  PUEBLO                 (ROYAL GORGE 15)             
CO   38.2720   -107.100  CEBOLLA HOT SPRINGS                  106   41        15         77     1  MONTROSE               POWDERHORN 7.5               
CO   38.8360   -106.825  CEMENT CREEK HOT SPRING               77   25        13       null     1  MONTROSE               CEMENT MTN. 7.5              
CO   39.0120   -106.891  CONUNDRUM HOT SPRINGS                100   38         9       null     2  LEADVILLE              MAROON BELLS 7.5             
CO   38.8120   -106.226  COTTONWOOD HOT SPRINGS               136   58        19       null     3  MONTROSE               BUENA VISTA 15               
CO   37.2940   -105.784  DEXTER SPRING                         68   20        44       null     1  TRINIDAD               PIKES STOCKADE 7.5           
CO   39.6280   -107.106  DOTSERO WARM SPRINGS                  90   32         7       null     1  LEADVILLE              (GLENWOOD SPRINGS 15)        
CO   37.7710   -108.091  DUNTON HOT SPRING                    108   42        29       null     1  CORTEZ                 DOLORES PEAK 7.5             
CO   39.9320   -105.277  ELDORADO SPRINGS                      79   26         4       null     1  DENVER                 ELDORADO SPRINGS 7.5         
CO   37.7470   -108.117  GEYSER WARM SPRING                    82   28      null       null     3  CORTEZ                 (RICO 7.5)                   
CO   39.5480   -107.322  GLENWOOD SPRINGS                     124   51         6       null     3  LEADVILLE              GLENWOOD SPRINGS 7.5         
CO   39.0170   -105.793  HARTSEL HOT SPRINGS                  126   52        17       null     3  DENVER                 HARTSEL 7.5                  
CO   38.7320   -106.178  HORTENSE HOT SPRING                  181   83      null         74     5  MONTROSE               PONCHA SPRINGS 15            
CO   40.0730   -106.113  HOT SULPHUR SPRINGS                  111   44         3       null     3  CRAIG                  HOT SULPHUR SPRINGS          
CO   39.7390   -105.512  IDAHO SPRINGS                        115   46         5       null     2  DENVER                 IDAHO SPRINGS 7.5            
CO   40.4670   -107.952  JUNIPER HOT SPRINGS                  100   38         1       null     1  CRAIG                  JUNIPER HOT SPRINGS          
CO   38.0140   -108.054  LEMON HOT SPRING                      91   33        26       null     1  MOAB                   (PLACERVILLE 7.5)            
CO   38.5170   -106.515  LOWER WAUNITA HOT SPRINGS            167   75      null         76     8  MONTROSE               (PITKIN 7.5)                 
CO   38.1680   -105.924  MINERAL HOT SPRINGS                  140   60        23       null     5  PUEBLO                 VILLA GROVE 7.5              
CO   38.7330   -106.162  MOUNT PRINCETON HOT SPRINGS          133   56        20         74     4  MONTROSE               PONCHA SPRINGS 15            
CO   38.1330   -107.736  ORVIS HOT SPRING                     126   52        27       null     2  MONTROSE               DALLAS 7.5                   
CO   38.0210   -107.672  OURAY HOT SPRINGS                    156   69        28       null     3  MONTROSE               (OURAY 7.5)                  
CO   37.2630   -107.011  PAGOSA SPRINGS                       136   58        39       null     7  DURANGO                PAGOSA SPRINGS 7.5           
CO   37.7520   -108.131  PARADISE WARM SPRING                 115   46      null         78     2  CORTEZ                 (GROUNDHOG MOUNTAIN          
CO   39.2270   -107.224  PENNY HOT SPRINGS                    133   56      null         73     4  LEADVILLE              REDSTONE 7.5                 
CO   37.3130   -107.344  PIEDRA RIVER HOT SPRINGS             108   42      null       null     6  DURANGO                (DEVIL MOUNTAIN 7.5)         
CO   37.4530   -107.803  PINKERTON HOT SPRINGS                 90   32        34       null     3  DURANGO                (HERMOSA 7.5)                
CO   38.4980   -106.076  PONCHA HOT SPRINGS                   160   71        21         75    10  MONTROSE               BONANZA 15                   
CO   37.5110   -106.945  RAINBOW HOT SPRINGS                  104   40        32       null     3  DURANGO                SPAR CITY 15                 
CO   38.8160   -106.873  RANGER HOT SPRING                     81   27        12       null     2  MONTROSE               CEMENT MTN. 7.5              
CO   39.1640   -106.062  RHODES WARM SPRING                    75   24        16       null     1  LEADVILLE              FAIRPLAY WEST 7.5            
CO   40.5590   -106.849  ROUTT HOT SPRINGS                    147   64         2         72     1  CRAIG                  ROCKY PEAK 7.5               
CO   37.7510   -106.317  SHAW SPRINGS                          86   30        33       null     1  DURANGO                TWIN MOUNTAINS SE 7.5        
CO   39.5520   -107.412  SOUTH CANYON HOT SPRINGS             118   48      null       null     2  LEADVILLE              (STORM KING MOUNTAIN 7.5)    
CO   40.4830   -106.827  STEAMBOAT SPRINGS                    102   39         2       null     2  CRAIG                  STEAMBOAT SPRINGS 7.5        
CO   37.0330   -106.805  STINKING SPRINGS                      81   27        41       null     4  DURANGO                CHROMO 15                    
CO   38.4790   -105.891  SWISSVALE WARM SPRINGS                82   28      null       null     2  PUEBLO                 (HOWARD 15)                  
CO   37.3910   -107.846  TRIMBLE HOT SPR, STRATTEN WARM SPR    97   36        36       null     5  DURANGO                (HERMOSA 7.5)                
CO   37.4000   -107.849  TRIPP HOT SPRINGS                    111   44        35       null     4  DURANGO                (HERMOSA 7.5)                
CO   38.5140   -106.508  UPPER WAUNITA HOT SPRINGS            176   80        14         76     9  MONTROSE               PITKIN 7.5                   
CO   38.1920   -105.816  VALLEY VIEW HOT SPRINGS               99   37        24       null     4  PUEBLO                 VALLLEY VIEW HOT SPRINGS 7.  
CO   37.7470   -106.831  WAGON WHEEL GAP HOT SPRINGS          135   57        31         79     2  DURANGO                SPAR CITY 15                 
CO   38.4850   -105.910  WELLSVILLE WARM SPRING                91   33        22       null     1  PUEBLO                 (HOWARD 15)                  
FL   27.0740   -82.2330  LITTLE SALT SPRING                    81   27      null       null     1  TAMPA                  MURDOCK 7.5                  
FL   27.0600   -82.2610  WARM MINERAL SPRINGS (BIG SALT SPR)   86   30         1       null     2  TAMPA                  MYAKKA RIVER 7.5             
GA   32.9200   -84.4380  BARKER SPRING                         73   23         5       null     2  PHENIX CITY            SUNSET VILLAGE 7.5           
GA   33.0370   -84.3740  LIFSEY SPRING                         79   26         1       null     1  ATLANTA                ZEBULON 7.5                  
GA   32.8620   -84.6500  PARKMAN SPRING                        77   25         7       null     5  PHENIX CITY            SHILOH 7.5                   
GA   33.0180   -84.3270  TAYLOR SPRING                         75   24         2       null     2  ATLANTA                ZEBULON 7.5                  
GA   32.9640   -84.4990  THUNDERING SPRING                     75   24         3       null     1  PHENIX CITY            SUNSET VILLAGE 7.5           
GA   32.8730   -84.5470  TOM BROWN SPRING                      68   20         8       null     4  PHENIX CITY            MANCHESTER 7.5               
GA   32.8930   -84.6900  WARM SPRINGS                          88   31         6       null     3  PHENIX CITY            WARM SPRINGS 7.5             
HI   19.5930   -154.928  AKINS SPRING                          84   29      null       null     1  HAWAII                 (PAHOA NORTH 7.5)            
HI   19.4600   -154.847  ISAAC HALE PARK SPRING                97   36         7       null     4  HAWAII                 (KAPOHO 7.5)                 
HI   19.4660   -154.943  STEAM VENTS                            H    H      null       null     3  HAWAII                 (PAHOA SOUTH 7.5)            
HI   19.4340   -155.272  STEAM VENTS                            H    H      null       null     2  HAWAII                 KILAUEA CRATER 7.5           
HI   19.3730   -155.188  STEAM VENTS                            H    H      null       null     6  HAWAII                 (MAKAOPUHI CRATER 7.5)       
HI   19.4860   -155.598  STEAM VENTS                            H    H      null       null     1  HAWAII                 (MAUNA LOA 7.5)              
HI   19.4210   -155.620  STEAM VENTS                            H    H      null       null     3  HAWAII                 (MAUNA LOA 7.5)              
HI   19.4070   -155.277  STEAM VENTS                            H    H      null       null     4  HAWAII                 (KILAUEA CRATER 7.5)         
HI   19.3900   -155.311  STEAM VENTS                            H    H      null       null     5  HAWAII                 (KILAUEA CRATER 7.5)         
HI   19.2010   -155.384  WAIWELAWELA POINT SPRING              90   32         8       null     7  HAWAII                 (PAHALA 7.5)                 
HI   19.4960   -154.876  WARM VAPOR                             W    W      null       null     2  HAWAII                 (PAHOA SOUTH 7.5)            
ID   43.0380   -112.004  ALKALI FLATS WARM SPRING              93   34      null       null     2  IDAHO FALLS            YANDELL SPRINGS 15           
ID   43.2270   -111.109  ALPINE WARM SPRING                    99   37      null       null     6  DRIGGS                 (ALPINE 7.5)                 
ID   44.6400   -116.045  ARLING HOT SPRING                     90   32        27       null     5  BAKER                  CASCADE 15                   
ID   42.4050   -114.142  ARTESIAN CITY HOT SPRINGS             99   37       178       null     5  TWIN FALLS             (MURTAUGH 7.5)               
ID   44.0910   -111.458  ASHTON WARM SPRING                    79   26      null       116      1  ASHTON                 (ASHTON 7.5)                 
ID   43.8110   -115.116  ATLANTA HOT SPRINGS                  140   60       123       null     5  HAILEY                 ATLANTA EAST 7.5             
ID   44.6210   -115.985  BADLEY WARM SPRING                   100   38      null       null    18  CHALLIS                (GOLD FORK 15)               
ID   42.6880   -114.826  BANBURY HOT SPRING                   138   59       175       114      3  TWIN FALLS             THOUSAND SPRINGS 7.5         
ID   44.2690   -113.449  BARNEY HOT SPRINGS                    82   28       108       null     4  DUBOIS                 GILMORE 15                   
ID   43.2930   -114.908  BARRONS HOT SPRING                   167   75       139       112     18  HAILEY                 (FAIRFIELD 15)               
ID   45.5120   -115.046  BARTH HOT SPRINGS                    140   60        11       null     2  ELK CITY               SHEEP HILL 7.5               
ID   44.2640   -114.818  BASIN CREEK HOT SPRING               133   56        92       null    15  CHALLIS                (EAST BASIN CREEK 7.5)       
ID   43.7180   -115.563  BASSET HOT SPRING                      H    H      null       null    15  HAILEY                 (SHEEP CREEK 7.5)            
ID   42.7970   -115.723  BAT HOT SPRING, PENCE HOT SPRING     117   47       164       null     2  TWIN FALLS             HOT SPRING 7.5               
ID   42.1330   -111.928  BATTLE CREEK HOT SPRINGS             183   84      null       120     12  PRESTON                BANIDA 7.5                   
ID   43.6030   -115.070  BAUMGARTNER HOT SPRING               111   44       127       null    20  HAILEY                 JUMBO MTN. 7.5               
ID   42.1150   -111.264  BEAR LAKE HOT SPRINGS                118   48       196       null    14  PRESTON                BEAR LAKE NORTH 7.5          
ID   44.4450   -115.239  BEAR VALLEY HOT SPRING                 W    W        41       null    23  CHALLIS                CAPE HORN LAKES 7.5          
ID   44.5230   -114.173  BEARDSLEY HOT SPRINGS                109   43       105       null    12  CHALLIS                CHALLIS 15                   
ID   44.4650   -116.037  BELVIDERE HOT SPRING                 111   44      null       null    10  BAKER                  (SMITHS FERRY 15)            
ID   45.3070   -114.338  BIG CREEK HOT SPRINGS                199   93        52       null     4  ELK CITY               SHOUP 15                     
ID   44.6400   -113.504  BIG EIGHTMILE CREEK WARM SPRING       91   33      null       null     2  DUBOIS                 (PATTERSON 15)               
ID   43.7010   -114.738  BIG SMOKEY HOT SPRING                  H    H       132       null     6  HAILEY                 BAKER PEAK 7.5               
ID   44.4540   -112.696  BIG SPRING                            73   23      null       null     1  DUBOIS                 EDIE RANCH 15                
ID   44.7700   -115.663  BILLY HOT SPRING                       H    H      null       null     7  CHALLIS                WHITE ROCK PEAK 7.5          
ID   42.9280   -111.592  BLACKFOOT RESERVOIR WARM SPRING       72   22      null       null     2  PRESTON                (HENRY 15)                   
ID   42.9860   -111.743  BLACKFOOT RIVER WARM SPRING           79   26      null       null     1  PRESTON                (HENRY 15)                   
ID   42.1070   -113.390  BLM WELL (FRAZIER HOT SPRING)        203   95       184       115      7  POCATELLO              CHOKECHERRY CANYON 7.5       
ID   44.3640   -115.856  BOILING SPRINGS                      185   85        38       null    29  CHALLIS                BOILING SPRINGS 15           
ID   44.1570   -115.314  BONNEVILLE HOT SPRINGS               185   85        80         96    34  CHALLIS                EIGHTMILE MTN. 7.5           
ID   45.2010   -116.312  BOULDER CREEK SPRING                  82   28      null       null     3  GRANGEVILLE            INDIAN MOUNTAIN 7.5          
ID   43.5400   -115.288  BRIDGE HOT SPRINGS                   138   59       128       null    23  HAILEY                 (FEATHERVILLE 7.5)           
ID   43.2100   -111.495  BROCKMAN CREEK HOT SPRING             95   35      null       null     7  DRIGGS                 HERMAN 7.5                   
ID   43.7790   -115.486  BROWN CREEK HOT SPRING               122   50       117       null     9  HAILEY                 (GRAND MTN. 7.5)             
ID   42.7980   -115.742  BRUNEAU HOT SPRING                   106   41       163       null     1  TWIN FALLS             HOT SPRING 7.5               
ID   42.7790   -115.715  BUCKAROO HOT SPRING                  109   43       169       null     3  TWIN FALLS             (HOT SPRING 7.5)             
ID   44.4300   -115.762  BULL CREEK HOT SPRINGS                 H    H        39       null    24  CHALLIS                BOILING SPRINGS 15           
ID   45.2770   -115.912  BURGDORF HOT SPRINGS                 113   45        14       null     3  ELK CITY               BURGDORF 15                  
ID   44.4160   -116.031  CABARTON HOT SPRING                  160   71      null       null    11  BAKER                  (SMITHS FERRY 15)            
ID   44.3980   -115.149  CAPE HORN WARM SPRINGS                95   35        87       null    26  CHALLIS                CAPE HORN LAKES 7.5          
ID   44.5830   -116.112  CASCADE RESERVOIR HOT SPRING           H    H      null       null     7  BAKER                  (CASCADE 15)                 
ID   43.5610   -114.415  CLARENDON HOT SPRINGS                126   52       151       null    13  HAILEY                 MAHONEY BUTTE 7.5            
ID   42.3330   -111.716  CLEVELAND HOT SPRINGS                151   66      null       null    10  PRESTON                ONEIDA NARROWS RESERVOIR 7.  
ID   46.4660   -114.939  COLGATE WARM SPRINGS                 106   41         2       null     1  HAMILTON               BEAR MOUNTAIN 7.5            
ID   43.3270   -113.918  CONDIE HOT SPRINGS                   124   51       147       null     3  IDAHO FALLS            null                         
ID   44.0450   -115.842  CORDER HOT SPRING                    131   55        76       null    42  CHALLIS                GARDEN VALLEY 15             
ID   44.6690   -116.305  COUNCIL MTN HOT SPRINGS              154   68        18       null     4  BAKER                  COUNCIL 15                   
ID   44.2110   -116.710  COVE CREEK HOT SPRING                131   55      null       null    13  BAKER                  (HOLLAND GULCH 7.5)          
ID   45.4310   -116.015  COW FLATS HOT SPRING                 138   59        12       null     1  GRANGEVILLE            (KELLY MOUNTAIN 7.5)         
ID   44.7850   -114.855  COX HOT SPRINGS                      131   55        49       null     5  CHALLIS                RAMEY HILL 7.5               
ID   43.1290   -115.340  COYOTE HOT SPRING                    135   57      null       null    27  HAILEY                 (BENNETT MTN. 15)            
ID   44.3060   -116.745  CRANE CREEK HOT SPRINGS              198   92      null       null    12  BAKER                  (CRANE CREEK RESERVOIR 15)   
ID   44.7200   -114.016  CRONKS CANYON HOT SPRING             115   46        63       null     7  CHALLIS                CHALLIS 15                   
ID   44.5160   -115.295  DAGGER CREEK HOT SPRING              110   43        42       null    22  CHALLIS                (CHINOOK MTN. 15)            
ID   44.0510   -115.829  DAN HODGES HOT SPRING                140   60        75       null    41  CHALLIS                (GARDEN VALLEY 15)           
ID   44.0600   -115.819  DANSKIN CREEK HOT SPRING             106   41      null       null    39  CHALLIS                GARDEN VALLEY 15             
ID   44.3820   -115.841  DASH CREEK HOT SPRINGS               138   59        37       null    28  CHALLIS                BOILING SPRINGS 15           
ID   44.0920   -116.052  DEER HOT SPRINGS                     176   80      null         97    14  BAKER                  BANKS 15                     
ID   44.7170   -115.703  DOLLAR CREEK WARM SPRING              68   20      null       null    11  CHALLIS                (WARM LAKE 15)               
ID   44.0440   -115.851  DONLAY RANCH HOT SPRING              131   55      null       null    43  CHALLIS                (GARDEN VALLEY 15)           
ID   42.3880   -112.085  DOWNATA HOT SPRINGS                  109   43       191       null     5  POCATELLO              DOWNEY EAST 7.5              
ID   42.1020   -113.632  DURFEE SPRING                        102   39      null       null     8  POCATELLO              (ALMO 7.5)                   
ID   43.7890   -115.434  DUTCH FRANK HOT SPRING               149   65       119       null     7  HAILEY                 GRAND MTN. 7.5               
ID   43.7790   -114.539  EASLEY HOT SPRINGS                   100   38       141       null     5  HAILEY                 EASLEY HOT SPRINGS 7.5       
ID   43.4230   -114.627  ELK CREEK HOT SPRING                 126   52       138       null    15  HAILEY                 BLAINE 15                    
ID   44.2450   -114.885  ELKHORN HOT SPRING                   136   58        90       null    19  CHALLIS                (STANLEY 7.5)                
ID   43.6600   -111.715  ELKHORN WARM SPRING                   72   22      null       null     2  DRIGGS                 HEISE 7.5                    
ID   44.5310   -116.754  FAIRCHILD HOT SPRING                 126   52      null       null     8  BAKER                  STURGILL PEAK 15             
ID   43.4230   -111.414  FALL CREEK MINERAL SPRINGS            77   25       154       null     5  DRIGGS                 CONANT VALLEY 7.5            
ID   44.8960   -114.563  FORGE CREEK HOT SPRINGS                H    H      null       null     2  CHALLIS                YELLOWJACKET 7.5             
ID   44.6610   -114.652  FOSTER RANCH HOT SPRINGS             135   57        57       null     8  CHALLIS                ROCK CREEK 7.5               
ID   43.4140   -116.707  GIVENS HOT SPRINGS                   117   47       159       null     5  BOISE                  GIVENS HOT SPRINGS 7.5       
ID   44.4000   -115.820  GOAT HOT SPRINGS                       H    H        35       null    25  CHALLIS                BOILING SPRINGS 15           
ID   44.6760   -115.943  GOLD FORK HOT SPRING                 127   53        28       null    12  CHALLIS                GOLD FORK 15                 
ID   44.9050   -113.929  GOLDBUG HOT SPRING                   113   45        61       null     1  DUBOIS                 (GOLDBUG RIDGE 7.5)          
ID   44.1600   -115.167  GRANDJEAN HOT SPRING                   H    H      null       null    33  CHALLIS                GRANDJEAN 7.5                
ID   43.8030   -115.401  GRANITE CREEK HOT SPRING             131   55       120       null     6  HAILEY                 GRAND MTN. 7.5               
ID   42.0850   -113.564  GRAPE CREEK WARM SPRING               72   22      null       null     9  POCATELLO              JIM SAGE CANYON 7.5          
ID   44.3920   -115.834  GROUND HOG HOT SPRINGS               100   38        36       null    27  CHALLIS                BOILING SPRINGS 15           
ID   43.6840   -114.410  GUYER HOT SPRINGS                    158   70       142       null     7  HAILEY                 GRIFFIN BUTTE 7.5            
ID   43.5060   -114.354  HAILEY HOT SPRINGS                   131   55       145       null    14  HAILEY                 HAILEY 7.5                   
ID   44.0770   -115.553  HAVEN LODGE HOT SPRING               147   64        78       null    36  CHALLIS                (LOWMAN 7.5)                 
ID   43.6440   -111.687  HEISE HOT SPRINGS                    120   49       152       null     3  DRIGGS                 HEISE 7.5                    
ID   42.9110   -111.556  HENRY WARM SPRING                     86   30       192       null     3  PRESTON                HENRY 15                     
ID   43.8310   -116.396  HIGHLAND LAND CO WARM SPRING          73   23      null       null     3  BOISE                  MONTOUR 15                   
ID   44.8470   -115.696  HOLDOVER HOT SPRING                  117   47        25       null     3  CHALLIS                WHITE ROCK PEAK 7.5          
ID   45.5030   -114.463  HORSE CREEK HOT SPRINGS              109   43        50       null     2  ELK CITY               PAINTED ROCKS LAKE 15        
ID   44.8360   -114.790  HOSPITAL HOT SPRING                  115   46      null       null     3  CHALLIS                RAMEY HILL 7.5               
ID   44.9000   -115.505  HOT CREEK WARM SPRING                 97   36        26       null     2  CHALLIS                CATON LAKE 7.5               
ID   44.0540   -115.907  HOT SPRING CAMPGROUND                124   51        74       null    40  CHALLIS                GARDEN VALLEY 15             
ID   43.1550   -115.518  HOT SPRINGS                          158   70       131       null    26  HAILEY                 MOUNTAIN HOME 15             
ID   42.6920   -114.859  HOT SULPHUR (MIRACLE HOT) SPRINGS    131   55       174       null     2  TWIN FALLS             THOUSAND SPRINGS 7.5         
ID   43.0470   -114.929  HOT SULPHUR LAKE                      81   27       171       null    21  HAILEY                 DAVIS MOUNTAIN 15            
ID   42.7620   -115.739  INDIAN BATHTUB HOT SPRINGS            99   37       167       null     5  TWIN FALLS             HOT SPRING 7.5               
ID   44.7990   -115.129  INDIAN CREEK HOT SPRING              190   88      null       null     6  CHALLIS                (BIG BALDY 7.5)              
ID   42.3330   -115.650  INDIAN HOT SPRINGS                   160   71       169       null     6  TWIN FALLS             null                         
ID   42.7250   -112.872  INDIAN SPRINGS                        90   32       189       null     2  POCATELLO              INDIAN SPRINGS 7.5           
ID   46.4630   -114.872  JERRY JOHNSON HOT SPRINGS            118   48         3       null     2  HAMILTON               TOM BEAL PEAK 7.5            
ID   44.4950   -116.732  KEITHLY WARM SPRING                   86   30      null       null     9  BAKER                  (CRANE CREEK RESERVOIR 15)   
ID   42.3390   -112.436  KENT WARM SPRING                      75   24      null       null     6  POCATELLO              (DANIELS 7.5)                
ID   44.0720   -115.543  KIRKHAM HOT SPRINGS                  149   65        79       null    37  CHALLIS                LOWMAN 7.5                   
ID   44.9710   -116.203  KRIGBAUM HOT SPRINGS                 109   43        17       null     1  BAKER                  MEADOWS 7.5                  
ID   44.8310   -115.215  KWISKWIS HOT SPRING                  156   69      null       null     4  CHALLIS                BIG BALDY 7.5                
ID   42.6250   -113.107  LAKE WALCOTT HOT SPRING               70   21      null       null     1  POCATELLO              (YALE 15)                    
ID   44.5860   -116.630  LAKEY HOT SPRING                     158   70      null       null     6  BAKER                  (CAMBRIDGE 15)               
ID   43.1160   -115.305  LATTY HOT SPRING                     144   62       131         99    28  HAILEY                 BENNETT MTN. 15              
ID   42.6210   -112.008  LAVA HOT SPRINGS                     113   45       190       null     3  POCATELLO              LAVA HOT SPRINGS 7.5         
ID   43.8170   -115.046  LEGGIT CREEK HOT SPRING                H    H      null       null     3  HAILEY                 (ATLANTA EAST 7.5)           
ID   45.0700   -115.826  LICK CREEK WARM SPRING                91   33        23       null     5  ELK CITY               (ENOS LAKE 7.5)              
ID   44.1450   -112.554  LIDY HOT SPRINGS                     124   51       150       null     3  DUBOIS                 LIDY HOT SPRINGS 7.5         
ID   43.6050   -114.948  LIGHTFOOT HOT SPRINGS                133   56       134       null    10  HAILEY                 BOARDMAN CREEK 7.5           
ID   44.3820   -114.088  LITTLE ANTELOPE FLAT WARM SPRING      93   34       107       null    13  CHALLIS                LITTLE ANTELOPE FLAT 7.5     
ID   43.7240   -115.604  LOFTUS HOT SPRING                    129   54       113       null    13  HAILEY                 SHEEP CREEK 7.5              
ID   42.8650   -116.368  LOWER BIRCH SPRING                    77   25      null       null     1  JORDAN VALLEY          ROUGH MOUNTAIN 7.5           
ID   43.9740   -114.499  LOWER BOWERY HOT SPRING              129   54      null       null     3  HAILEY                 (RYAN PEAK 7.5)              
ID   42.7670   -115.725  LOWER INDIAN BATHTUB HOT SPRINGS     108   42       166       null     4  TWIN FALLS             HOT SPRING 7.5               
ID   44.7990   -114.806  LOWER LOON CREEK HOT SPRING          120   49        55       null     4  CHALLIS                RAMEY HILL 7.5               
ID   42.0130   -114.504  MAGIC HOT SPRINGS                    109   43      null       null     8  TWIN FALLS             null                         
ID   43.3280   -114.399  MAGIC HOT SPRINGS                    163   73      null       109     17  HAILEY                 BELLEVUE 15                  
ID   42.1730   -112.239  MALAD WARM SPRING                     77   25      null       null     7  POCATELLO              (MALAD CITY EAST 7.5)        
ID   42.3080   -111.707  MAPLE GROVE HOT SPRINGS              172   78      null       118     11  PRESTON                ONEIDA NARROWS RESERVOIR 7.  
